column_name,count_32,mean_32,std_32,min_32,25%_32,50%_32,75%_32,max_32,count_64,mean_64,std_64,min_64,25%_64,50%_64,75%_64,max_64,count_64_abs,mean_64_abs,std_64_abs,min_64_abs,25%_64_abs,50%_64_abs,75%_64_abs,max_64_abs,filepath
BMI,768.0,31.992578506469727,7.88416051864624,0.0,27.299999237060547,32.0,36.599998474121094,67.0999984741211,768.0,31.992578124999998,7.884160320375446,0.0,27.3,32.0,36.6,67.1,768.0,31.992578124999998,7.884160320375446,0.0,27.3,32.0,36.6,67.1,uciml-pima-indians-diabetes-database/diabetes.csv
DiabetesPedigreeFunction,768.0,0.4718762934207916,0.3313286006450653,0.07800000160932541,0.24375000223517418,0.3725000023841858,0.6262499839067459,2.4200000762939453,768.0,0.47187630208333325,0.3313285950127749,0.078,0.24375,0.3725,0.62625,2.42,768.0,0.47187630208333325,0.3313285950127749,0.078,0.24375,0.3725,0.62625,2.42,uciml-pima-indians-diabetes-database/diabetes.csv
MILES*,1156.0,21.115400314331055,359.29901123046875,0.5,2.9000000953674316,6.0,10.399999618530273,12204.7001953125,1156.0,21.115397923875435,359.29900739506587,0.5,2.9,6.0,10.4,12204.7,1156.0,21.115397923875435,359.29900739506587,0.5,2.9,6.0,10.4,12204.7,zusmani-uberdrives/My Uber Drives - 2016.csv
avg_rating,13608.0,3.923293113708496,1.0313042402267456,0.0,3.799999952316284,4.194439888000488,4.449999809265137,5.0,13608.0,3.923293150352734,1.0313041924000539,0.0,3.8,4.19444,4.45,5.0,13608.0,3.923293150352734,1.0313041924000539,0.0,3.8,4.19444,4.45,5.0,jilkothari-finance-accounting-courses-udemy-13k-course/udemy_output_All_Finance__Accounting_p1_p626.csv
avg_rating_recent,13608.0,3.9122414588928223,1.0392369031906128,0.0,3.7873149514198303,4.181735038757324,4.452104806900024,5.0,13608.0,3.912241568930041,1.0392368900131033,0.0,3.787315,4.181735,4.4521049999999995,5.0,13608.0,3.912241568930041,1.0392368900131033,0.0,3.787315,4.181735,4.4521049999999995,5.0,jilkothari-finance-accounting-courses-udemy-13k-course/udemy_output_All_Finance__Accounting_p1_p626.csv
rating,13608.0,3.9122414588928223,1.0392369031906128,0.0,3.7873149514198303,4.181735038757324,4.452104806900024,5.0,13608.0,3.912241568930041,1.0392368900131033,0.0,3.787315,4.181735,4.4521049999999995,5.0,13608.0,3.912241568930041,1.0392368900131033,0.0,3.787315,4.181735,4.4521049999999995,5.0,jilkothari-finance-accounting-courses-udemy-13k-course/udemy_output_All_Finance__Accounting_p1_p626.csv
ts,405184.0,1594857984.0,199498.390625,1594512128.0,1594685952.0,1594857984.0,1595030528.0,1595203456.0,405184.0,1594858017.296824,199498.39926107033,1594512094.3859744,1594686000.3083787,1594857988.9030962,1595030576.67122,1595203417.2643125,405184.0,1594858017.296824,199498.39926107033,1594512094.3859744,1594686000.3083787,1594857988.9030962,1595030576.67122,1595203417.2643125,garystafford-environmental-sensor-data-132k/iot_telemetry_data.csv
co,405184.0,0.004638845566660166,0.0012500262819230556,0.0011705085635185242,0.003918682225048542,0.004811521619558334,0.005408831872045994,0.014420105144381523,405184.0,0.0046388446331152786,0.0012500262834853912,0.0011705085484379088,0.003918682396119943,0.004811521633134997,0.005408831752101252,0.014420105304506959,405184.0,0.0046388446331152786,0.0012500262834853912,0.0011705085484379088,0.003918682396119943,0.004811521633134997,0.005408831752101252,0.014420105304506959,garystafford-environmental-sensor-data-132k/iot_telemetry_data.csv
humidity,405184.0,60.511688232421875,11.36648941040039,1.100000023841858,51.0,54.900001525878906,74.30000305175781,99.9000015258789,405184.0,60.511693961575894,11.366489390798144,1.100000023841858,51.0,54.9,74.30000305175781,99.9000015258789,405184.0,60.511693961575894,11.366489390798144,1.100000023841858,51.0,54.9,74.30000305175781,99.9000015258789,garystafford-environmental-sensor-data-132k/iot_telemetry_data.csv
lpg,405184.0,0.007237125653773546,0.0014441156527027488,0.0026934787165373564,0.006455518305301666,0.00748888379894197,0.008150443434715271,0.016567377373576164,405184.0,0.007237125655057709,0.0014441156787684472,0.002693478622661808,0.006455518224609353,0.007488883701326004,0.008150443391049358,0.016567377162503137,405184.0,0.007237125655057709,0.0014441156787684472,0.002693478622661808,0.006455518224609353,0.007488883701326004,0.008150443391049358,0.016567377162503137,garystafford-environmental-sensor-data-132k/iot_telemetry_data.csv
